participantId,DonutChart1,DonutChart2,DonutChart3,DonutChart4,DonutChart5,DonutChart6,DonutChart7,DonutChart8,DonutChart9,DonutChart10,DonutChart11,DonutChart12,PieChart1,PieChart2,PieChart3,PieChart4,PieChart5,PieChart6,PieChart7,PieChart8,PieChart9,PieChart10,PieChart11,PieChart12,StackedBarChart1,StackedBarChart2,StackedBarChart3,StackedBarChart4,StackedBarChart5,StackedBarChart6,StackedBarChart7,StackedBarChart8,StackedBarChart9,StackedBarChart10,StackedBarChart11,StackedBarChart12,TreeMap1,TreeMap2,TreeMap3,TreeMap4,TreeMap5,TreeMap6,TreeMap7,TreeMap8,TreeMap9,TreeMap10,TreeMap11,TreeMap12
176ROwHUE5I5wFcKITdr,,,,,,,85.0,,60.0,,,,60.0,,,55.0,92.0,,85.0,,60.0,,15.0,60.0,15.0,65.0,,30.0,,,,,55.0,,,,70.0,,,95.0,20.0,,50.0,,55.0,,20.0,65.0
1MNVFgL928veMZSTbfLZ,,,60.0,,,60.0,60.0,,40.0,,,,,,,90.0,40.0,,,,,,,50.0,30.0,,,,,,,50.0,80.0,,,,,,,,,,,,,,,40.0
1eDn4t1DP3DDlEDGSJAs,55.0,,,,,,,,75.0,,,,,,,,2.0,,,95.0,,,50.0,,,,,75.0,,70.0,,,,60.0,,80.0,,,,100.0,,,,70.0,,50.0,,
28NGbcFKSgbVT9JkemVD,,,,,,15.0,15.0,,20.0,20.0,,20.0,,20.0,,20.0,,50.0,,35.0,,0.0,20.0,20.0,10.0,20.0,,30.0,10.0,,,,,20.0,,,20.0,,,,20.0,,,,,,20.0,
2BCzvnvYslckPOQqnQes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4gSikdAFz7rHwWQ5iW2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650gLH4HgRQ3v6CMhEPj,,,,50.0,80.0,,,,80.0,80.0,,85.0,50.0,,,,,,,90.0,,90.0,50.0,60.0,25.0,20.0,,,,,15.0,,,30.0,,,,40.0,,90.0,40.0,,,,60.0,50.0,40.0,
6JPSZanfVTH1cbL9nmir,,100.0,,,,,,,,,,60.0,70.0,,,,60.0,,70.0,50.0,,,30.0,80.0,70.0,50.0,50.0,80.0,40.0,60.0,,,,80.0,,,,50.0,,,30.0,40.0,,,,25.0,,80.0
6f5Zu69gDJ6cCesZe6CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3Ks9BdQJJRE14RjEXym,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRvUziBJQSCuvvY0cVir,,60.0,55.0,,,100.0,90.0,100.0,,70.0,33.0,45.0,,,,,80.0,,80.0,100.0,,,,50.0,60.0,,,,80.0,,,20.0,,70.0,,,70.0,30.0,,,,70.0,,80.0,,,,
BjYXY904k8b6K0MRaPkq,70.0,80.0,,40.0,,95.0,,,40.0,,,40.0,,,,,,90.0,,,,70.0,24.0,,,30.0,,,,50.0,70.0,20.0,,,50.0,75.0,,25.0,,,25.0,,,50.0,100.0,,,40.0
CgIQwX09QHeyRLM9UgV7,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ee8HmuXZqZv0IwYLF2W0,,,,,,,90.0,,,75.0,40.0,,80.0,,90.0,,95.0,,95.0,,,85.0,,85.0,60.0,,30.0,,50.0,,70.0,,,,,90.0,,50.0,,,30.0,55.0,,,70.0,,35.0,60.0
F2B36lWYulDI6g74UMHz,,,,,,100.0,95.0,90.0,,,,,,,,60.0,90.0,100.0,95.0,,,,,,,,,,40.0,60.0,80.0,25.0,70.0,,,90.0,,50.0,,,25.0,,50.0,,40.0,20.0,20.0,80.0
FFxfGzYalbZTwjmmO0VW,,55.0,60.0,,75.0,,,,,,40.0,,,,35.0,35.0,,,45.0,55.0,40.0,,50.0,65.0,,70.0,60.0,70.0,,60.0,,,55.0,,,,60.0,50.0,35.0,,,,,,70.0,,,
G2NW5mxwDVyBviCF1Lon,,,0.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI489VlHax1r1RpxQicC,60.0,95.0,,50.0,90.0,,,,,,50.0,,80.0,90.0,,,,,100.0,,,90.0,,70.0,,20.0,10.0,35.0,,,,60.0,70.0,80.0,,,,,,,20.0,,,80.0,,40.0,,80.0
HSreY5UDScZtXyQplfEJ,80.0,,,,,,,60.0,,,,,35.0,,60.0,80.0,,,90.0,90.0,,75.0,,80.0,50.0,,,8.0,,,,20.0,50.0,67.0,50.0,75.0,,70.0,,,12.0,80.0,60.0,,,,,
HUtUJCSexG3BVzkdJnoZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JinVosNIGRk3E8KvXueo,37.0,,,,50.0,,60.0,,,45.0,35.0,66.0,60.0,80.0,33.0,,,,,,,,25.0,75.0,50.0,45.0,,,,,,,50.0,,,90.0,,,,,20.0,45.0,,50.0,,66.0,,80.0
JknypXmCKfaxXN5z1KDh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KaVQkMdwIetGagIIy6u3,,,,85.0,45.0,,78.0,30.0,,,,55.0,45.0,,,89.0,,78.0,,89.0,26.0,89.0,,,,,89.0,,78.0,,,,,89.0,,12.0,,,78.0,,,89.0,89.0,,41.0,14.0,,
LQqqeEkr5MH2a8CcUGNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PzgNEzdL1TnkaJkXCjBZ,60.0,,,,,,80.0,,80.0,80.0,,,,,,60.0,,,,,90.0,80.0,,,,,,80.0,60.0,50.0,80.0,40.0,,,50.0,90.0,50.0,,,70.0,30.0,60.0,40.0,,,,,70.0
SP79drIF3ezFXSO0SjDF,,75.0,,46.0,,,,,60.0,70.0,33.0,,,90.0,,50.0,,,,90.0,,90.0,,,,,20.0,42.0,,40.0,80.0,,,65.0,,80.0,,30.0,25.0,,,70.0,,,65.0,,33.0,
SRKfZgZhWWcazOSMOl9I,,,,,,,,,,,,0.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,0.0,,,,,0.0,,,
TrpmxbKpW29DcP9AvikP,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,50.0,,,,50.0,,,,,50.0,,,50.0,,,,,,,,
V2BBGCH2R0cDVw4tIw9c,20.0,23.0,1.0,,30.0,20.0,15.0,,,,,,35.0,,,20.0,,,,45.0,,,45.0,,20.0,25.0,,,,,,,,,15.0,40.0,30.0,,,25.0,15.0,,25.0,50.0,2.0,,,
Z1aGvqQjLjh97oiX5xYv,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbAms3wukbnXBVE3RAzZ,,1.0,,,,1.0,1.0,,1.0,1.0,,,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,,1.0,,1.0,,,,,,1.0,1.0,,1.0,,1.0,
bfTMaPqTpH6nhkM2m62m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6brH7oCcScJsA53bo1p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c9Tliv3EWYyJAej7dU84,,80.0,,,70.0,,,,,,,60.0,70.0,,70.0,70.0,,90.0,75.0,85.0,70.0,70.0,,,50.0,60.0,,,,,,,65.0,70.0,,,,40.0,35.0,,,,50.0,,65.0,,,75.0
cl84JnR33TLVVsIefMAp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cuf4I3fpG0AHc630YGCQ,,80.0,,,,,,,,,,37.0,70.0,,,,100.0,,80.0,100.0,,,33.0,70.0,70.0,50.0,30.0,80.0,50.0,70.0,,,,60.0,,,,30.0,,,30.0,80.0,,,,90.0,,80.0
dEozVz8075564YCkqv71,,90.0,80.0,50.0,,,,,,,30.0,,,,,80.0,100.0,,,,,90.0,,70.0,,80.0,,80.0,50.0,,,30.0,,,,,,30.0,,60.0,,40.0,40.0,70.0,,40.0,40.0,60.0
e62Cz5tQp2ui1ZA3CkmQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eM6AlSqDpptWiEbHvaRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ejkQTe8RRSpz9fqaH6BR,,70.0,,,,95.0,,80.0,,,33.0,,,80.0,30.0,,,85.0,,90.0,30.0,,30.0,40.0,,70.0,,,40.0,,80.0,20.0,30.0,90.0,,90.0,,25.0,,,,50.0,,,,,,
etIMBKvXZxKYZ0YFz5EZ,,20.0,75.0,,,,,,,20.0,,,,50.0,,25.0,60.0,20.0,,,50.0,,,,,20.0,,40.0,,,10.0,80.0,,20.0,,,,10.0,,20.0,,80.0,80.0,80.0,,75.0,50.0,
fOPv7m3fRUeMl6Ka4cn1,,85.0,1.0,,100.0,,,95.0,80.0,,3.0,,,90.0,,,,,85.0,,75.0,75.0,50.0,50.0,50.0,,,,,,,33.0,,,,90.0,50.0,,25.0,,10.0,,,,,4.0,,50.0
gCM5jIJ7WjvTtWk6e3SU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goMwQC6NK2ETYbEOyGBL,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,
ieew715l2voNZXf8rsO5,,,,,80.0,40.0,,,46.0,,,,,,,,40.0,,30.0,,70.0,,30.0,47.0,,,,40.0,,,,,,26.0,,,,,30.0,,30.0,,,,35.0,23.0,,
itE6xFU1XFPfx1U6Kt2w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joTZMH9ZUzjt7MrfKWsm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jwTak8Kef7l6hC1Vfqw4,,,,,,,,23.0,,,,,30.0,,,,,,,,,,,,,60.0,50.0,,,75.0,,,,,,,,,,,,,,,,,,
l299yJaEH0kHsa5FLV7D,21.0,,89.0,,,,89.0,,,,,,54.0,50.0,,78.0,,,,,,,95.0,,84.0,56.0,,,,,50.0,56.0,12.0,87.0,,74.0,,56.0,89.0,89.0,56.0,80.0,,45.0,,,,
ojLEAeM0xd6xHoqhYeaZ,70.0,80.0,,50.0,,,90.0,,,80.0,40.0,60.0,,,,,,,,80.0,60.0,80.0,40.0,,50.0,40.0,,,,,,,,80.0,50.0,80.0,,,,,,,50.0,90.0,,,30.0,70.0
pDvpSWMCOgYsz1zszPas,,,68.0,,,,,,6.0,,,,9.0,0.0,37.0,8.0,9.0,,,,6.0,99.0,,,8.0,50.0,86.0,,,2.0,,0.0,3.0,69.0,58.0,,6.0,,,100.0,7.0,,,,,,,
phu0u4iCOWScBd6WHepH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sfaEZ8J3WZFtCLdf5aws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uDcvLK7QS8wqWxIEO9Lh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vLb8Kte3ho5yoVOI7uXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wkb3m1DTOo8giD97BswI,,,,,,,,90.0,,,,,,,,,,,,,,,,50.0,,,40.0,,,,50.0,,,,,,,,,,,50.0,,,,,,
y16tsIHQRuZuCpKJeyB4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zjr7WHVT2xPNwAgw7JNb,,,33.0,,,,,80.0,,70.0,,,60.0,80.0,,40.0,,100.0,,90.0,70.0,80.0,,,,,,80.0,33.0,,60.0,,60.0,,50.0,,70.0,50.0,,,20.0,,,80.0,,,,40.0
znYQ7CKpUMvpkyrWxaMr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
