ChartType,Value
TreeMap1,70.0
TreeMap1,20.0
TreeMap1,70.0
TreeMap1,60.0
TreeMap1,50.0
TreeMap1,50.0
TreeMap1,30.0
TreeMap1,50.0
TreeMap1,6.0
TreeMap1,70.0
PieChart1,60.0
PieChart1,50.0
PieChart1,70.0
PieChart1,80.0
PieChart1,100.0
PieChart1,80.0
PieChart1,35.0
PieChart1,60.0
PieChart1,45.0
PieChart1,35.0
PieChart1,70.0
PieChart1,70.0
PieChart1,30.0
PieChart1,54.0
PieChart1,9.0
PieChart1,60.0
PieChart5,92.0
PieChart5,40.0
PieChart5,2.0
PieChart5,60.0
PieChart5,80.0
PieChart5,95.0
PieChart5,90.0
PieChart5,100.0
PieChart5,100.0
PieChart5,60.0
PieChart5,40.0
PieChart5,9.0
TreeMap4,95.0
TreeMap4,100.0
TreeMap4,90.0
TreeMap4,70.0
TreeMap4,50.0
TreeMap4,25.0
TreeMap4,60.0
TreeMap4,20.0
TreeMap4,89.0
TreeMap4,100.0
PieChart12,60.0
PieChart12,50.0
PieChart12,20.0
PieChart12,60.0
PieChart12,80.0
PieChart12,50.0
PieChart12,85.0
PieChart12,65.0
PieChart12,70.0
PieChart12,80.0
PieChart12,75.0
PieChart12,70.0
PieChart12,70.0
PieChart12,40.0
PieChart12,50.0
PieChart12,47.0
PieChart12,50.0
PieChart11,15.0
PieChart11,50.0
PieChart11,20.0
PieChart11,50.0
PieChart11,30.0
PieChart11,24.0
PieChart11,50.0
PieChart11,25.0
PieChart11,45.0
PieChart11,33.0
PieChart11,30.0
PieChart11,50.0
PieChart11,30.0
PieChart11,95.0
PieChart11,40.0
TreeMap7,50.0
TreeMap7,50.0
TreeMap7,60.0
TreeMap7,89.0
TreeMap7,40.0
TreeMap7,25.0
TreeMap7,50.0
TreeMap7,40.0
TreeMap7,80.0
TreeMap7,50.0
DonutChart7,85.0
DonutChart7,60.0
DonutChart7,15.0
DonutChart7,90.0
DonutChart7,90.0
DonutChart7,95.0
DonutChart7,60.0
DonutChart7,78.0
DonutChart7,80.0
DonutChart7,15.0
DonutChart7,89.0
DonutChart7,90.0
StackedBarChart1,15.0
StackedBarChart1,30.0
StackedBarChart1,10.0
StackedBarChart1,25.0
StackedBarChart1,70.0
StackedBarChart1,60.0
StackedBarChart1,60.0
StackedBarChart1,50.0
StackedBarChart1,50.0
StackedBarChart1,20.0
StackedBarChart1,50.0
StackedBarChart1,70.0
StackedBarChart1,50.0
StackedBarChart1,84.0
StackedBarChart1,50.0
StackedBarChart1,8.0
PieChart4,55.0
PieChart4,90.0
PieChart4,20.0
PieChart4,60.0
PieChart4,35.0
PieChart4,80.0
PieChart4,89.0
PieChart4,60.0
PieChart4,50.0
PieChart4,20.0
PieChart4,70.0
PieChart4,80.0
PieChart4,25.0
PieChart4,78.0
PieChart4,8.0
PieChart4,40.0
TreeMap12,65.0
TreeMap12,40.0
TreeMap12,80.0
TreeMap12,40.0
TreeMap12,60.0
TreeMap12,80.0
TreeMap12,80.0
TreeMap12,80.0
TreeMap12,70.0
TreeMap12,75.0
TreeMap12,80.0
TreeMap12,60.0
TreeMap12,50.0
TreeMap12,70.0
TreeMap12,40.0
PieChart7,85.0
PieChart7,70.0
PieChart7,80.0
PieChart7,95.0
PieChart7,95.0
PieChart7,45.0
PieChart7,100.0
PieChart7,90.0
PieChart7,75.0
PieChart7,80.0
PieChart7,85.0
PieChart7,30.0
StackedBarChart9,55.0
StackedBarChart9,80.0
StackedBarChart9,70.0
StackedBarChart9,55.0
StackedBarChart9,70.0
StackedBarChart9,50.0
StackedBarChart9,50.0
StackedBarChart9,65.0
StackedBarChart9,30.0
StackedBarChart9,12.0
StackedBarChart9,3.0
StackedBarChart9,60.0
DonutChart9,60.0
DonutChart9,40.0
DonutChart9,75.0
DonutChart9,20.0
DonutChart9,80.0
DonutChart9,40.0
DonutChart9,80.0
DonutChart9,60.0
DonutChart9,80.0
DonutChart9,46.0
DonutChart9,6.0
TreeMap9,55.0
TreeMap9,60.0
TreeMap9,100.0
TreeMap9,70.0
TreeMap9,40.0
TreeMap9,70.0
TreeMap9,41.0
TreeMap9,65.0
TreeMap9,2.0
TreeMap9,65.0
TreeMap9,35.0
StackedBarChart2,65.0
StackedBarChart2,20.0
StackedBarChart2,20.0
StackedBarChart2,50.0
StackedBarChart2,30.0
StackedBarChart2,70.0
StackedBarChart2,20.0
StackedBarChart2,45.0
StackedBarChart2,25.0
StackedBarChart2,60.0
StackedBarChart2,50.0
StackedBarChart2,80.0
StackedBarChart2,70.0
StackedBarChart2,20.0
StackedBarChart2,60.0
StackedBarChart2,56.0
StackedBarChart2,40.0
StackedBarChart2,50.0
TreeMap11,20.0
TreeMap11,20.0
TreeMap11,40.0
TreeMap11,35.0
TreeMap11,20.0
TreeMap11,33.0
TreeMap11,40.0
TreeMap11,50.0
TreeMap11,30.0
StackedBarChart4,30.0
StackedBarChart4,75.0
StackedBarChart4,30.0
StackedBarChart4,80.0
StackedBarChart4,70.0
StackedBarChart4,35.0
StackedBarChart4,8.0
StackedBarChart4,80.0
StackedBarChart4,42.0
StackedBarChart4,50.0
StackedBarChart4,80.0
StackedBarChart4,80.0
StackedBarChart4,40.0
StackedBarChart4,40.0
StackedBarChart4,80.0
TreeMap5,20.0
TreeMap5,20.0
TreeMap5,40.0
TreeMap5,30.0
TreeMap5,25.0
TreeMap5,30.0
TreeMap5,25.0
TreeMap5,20.0
TreeMap5,12.0
TreeMap5,20.0
TreeMap5,30.0
TreeMap5,15.0
TreeMap5,30.0
TreeMap5,10.0
TreeMap5,30.0
TreeMap5,56.0
TreeMap5,7.0
TreeMap5,20.0
PieChart9,60.0
PieChart9,40.0
PieChart9,26.0
PieChart9,90.0
PieChart9,70.0
PieChart9,30.0
PieChart9,50.0
PieChart9,75.0
PieChart9,70.0
PieChart9,60.0
PieChart9,6.0
PieChart9,70.0
DonutChart3,60.0
DonutChart3,55.0
DonutChart3,60.0
DonutChart3,80.0
DonutChart3,75.0
DonutChart3,89.0
DonutChart3,68.0
DonutChart3,33.0
DonutChart6,60.0
DonutChart6,15.0
DonutChart6,100.0
DonutChart6,95.0
DonutChart6,100.0
DonutChart6,20.0
DonutChart6,95.0
DonutChart6,40.0
StackedBarChart8,50.0
StackedBarChart8,20.0
StackedBarChart8,20.0
StackedBarChart8,25.0
StackedBarChart8,60.0
StackedBarChart8,20.0
StackedBarChart8,40.0
StackedBarChart8,50.0
StackedBarChart8,30.0
StackedBarChart8,20.0
StackedBarChart8,80.0
StackedBarChart8,33.0
StackedBarChart8,56.0
PieChart8,95.0
PieChart8,35.0
PieChart8,90.0
PieChart8,50.0
PieChart8,100.0
PieChart8,55.0
PieChart8,90.0
PieChart8,89.0
PieChart8,90.0
PieChart8,45.0
PieChart8,85.0
PieChart8,100.0
PieChart8,90.0
PieChart8,80.0
PieChart8,90.0
TreeMap8,70.0
TreeMap8,80.0
TreeMap8,50.0
TreeMap8,80.0
TreeMap8,50.0
TreeMap8,50.0
TreeMap8,70.0
TreeMap8,80.0
TreeMap8,45.0
TreeMap8,90.0
TreeMap8,80.0
StackedBarChart12,80.0
StackedBarChart12,75.0
StackedBarChart12,90.0
StackedBarChart12,90.0
StackedBarChart12,75.0
StackedBarChart12,90.0
StackedBarChart12,12.0
StackedBarChart12,90.0
StackedBarChart12,80.0
StackedBarChart12,40.0
StackedBarChart12,90.0
StackedBarChart12,90.0
StackedBarChart12,74.0
StackedBarChart12,80.0
DonutChart1,55.0
DonutChart1,70.0
DonutChart1,60.0
DonutChart1,80.0
DonutChart1,37.0
DonutChart1,60.0
DonutChart1,20.0
DonutChart1,21.0
DonutChart1,70.0
StackedBarChart6,70.0
StackedBarChart6,60.0
StackedBarChart6,50.0
StackedBarChart6,60.0
StackedBarChart6,60.0
StackedBarChart6,50.0
StackedBarChart6,40.0
StackedBarChart6,70.0
StackedBarChart6,75.0
StackedBarChart6,2.0
StackedBarChart10,60.0
StackedBarChart10,20.0
StackedBarChart10,30.0
StackedBarChart10,80.0
StackedBarChart10,70.0
StackedBarChart10,80.0
StackedBarChart10,67.0
StackedBarChart10,89.0
StackedBarChart10,65.0
StackedBarChart10,70.0
StackedBarChart10,60.0
StackedBarChart10,90.0
StackedBarChart10,20.0
StackedBarChart10,26.0
StackedBarChart10,87.0
StackedBarChart10,80.0
StackedBarChart10,69.0
TreeMap10,50.0
TreeMap10,50.0
TreeMap10,25.0
TreeMap10,20.0
TreeMap10,40.0
TreeMap10,66.0
TreeMap10,14.0
TreeMap10,90.0
TreeMap10,40.0
TreeMap10,75.0
TreeMap10,4.0
TreeMap10,23.0
PieChart2,20.0
PieChart2,90.0
PieChart2,80.0
PieChart2,90.0
PieChart2,80.0
PieChart2,50.0
PieChart2,90.0
PieChart2,50.0
PieChart2,80.0
PieChart6,50.0
PieChart6,90.0
PieChart6,100.0
PieChart6,78.0
PieChart6,90.0
PieChart6,85.0
PieChart6,20.0
PieChart6,100.0
PieChart10,90.0
PieChart10,70.0
PieChart10,85.0
PieChart10,90.0
PieChart10,75.0
PieChart10,89.0
PieChart10,80.0
PieChart10,90.0
PieChart10,70.0
PieChart10,90.0
PieChart10,75.0
PieChart10,80.0
PieChart10,99.0
PieChart10,80.0
DonutChart12,20.0
DonutChart12,85.0
DonutChart12,60.0
DonutChart12,45.0
DonutChart12,40.0
DonutChart12,66.0
DonutChart12,55.0
DonutChart12,60.0
DonutChart12,37.0
DonutChart12,60.0
DonutChart10,20.0
DonutChart10,80.0
DonutChart10,70.0
DonutChart10,75.0
DonutChart10,45.0
DonutChart10,80.0
DonutChart10,70.0
DonutChart10,50.0
DonutChart10,20.0
DonutChart10,80.0
DonutChart10,70.0
StackedBarChart5,10.0
StackedBarChart5,40.0
StackedBarChart5,80.0
StackedBarChart5,50.0
StackedBarChart5,40.0
StackedBarChart5,78.0
StackedBarChart5,60.0
StackedBarChart5,50.0
StackedBarChart5,50.0
StackedBarChart5,40.0
StackedBarChart5,33.0
TreeMap2,40.0
TreeMap2,50.0
TreeMap2,30.0
TreeMap2,25.0
TreeMap2,50.0
TreeMap2,50.0
TreeMap2,50.0
TreeMap2,70.0
TreeMap2,30.0
TreeMap2,40.0
TreeMap2,30.0
TreeMap2,30.0
TreeMap2,25.0
TreeMap2,10.0
TreeMap2,56.0
TreeMap2,50.0
StackedBarChart7,15.0
StackedBarChart7,70.0
StackedBarChart7,70.0
StackedBarChart7,80.0
StackedBarChart7,80.0
StackedBarChart7,80.0
StackedBarChart7,80.0
StackedBarChart7,10.0
StackedBarChart7,50.0
StackedBarChart7,50.0
StackedBarChart7,60.0
DonutChart5,80.0
DonutChart5,75.0
DonutChart5,90.0
DonutChart5,50.0
DonutChart5,45.0
DonutChart5,30.0
DonutChart5,70.0
DonutChart5,100.0
DonutChart5,80.0
DonutChart4,50.0
DonutChart4,40.0
DonutChart4,50.0
DonutChart4,85.0
DonutChart4,46.0
DonutChart4,50.0
DonutChart4,50.0
DonutChart2,100.0
DonutChart2,60.0
DonutChart2,80.0
DonutChart2,55.0
DonutChart2,95.0
DonutChart2,75.0
DonutChart2,23.0
DonutChart2,80.0
DonutChart2,80.0
DonutChart2,90.0
DonutChart2,70.0
DonutChart2,20.0
DonutChart2,85.0
DonutChart2,80.0
StackedBarChart3,50.0
StackedBarChart3,30.0
StackedBarChart3,60.0
StackedBarChart3,10.0
StackedBarChart3,89.0
StackedBarChart3,20.0
StackedBarChart3,30.0
StackedBarChart3,50.0
StackedBarChart3,86.0
StackedBarChart3,40.0
TreeMap6,40.0
TreeMap6,70.0
TreeMap6,55.0
TreeMap6,80.0
TreeMap6,45.0
TreeMap6,89.0
TreeMap6,60.0
TreeMap6,70.0
TreeMap6,80.0
TreeMap6,40.0
TreeMap6,50.0
TreeMap6,80.0
TreeMap6,80.0
TreeMap6,50.0
DonutChart11,33.0
DonutChart11,40.0
DonutChart11,40.0
DonutChart11,50.0
DonutChart11,35.0
DonutChart11,33.0
DonutChart11,30.0
DonutChart11,33.0
DonutChart11,3.0
DonutChart11,40.0
DonutChart8,100.0
DonutChart8,90.0
DonutChart8,60.0
DonutChart8,30.0
DonutChart8,80.0
DonutChart8,95.0
DonutChart8,23.0
DonutChart8,90.0
DonutChart8,80.0
StackedBarChart11,50.0
StackedBarChart11,50.0
StackedBarChart11,50.0
StackedBarChart11,15.0
StackedBarChart11,50.0
StackedBarChart11,58.0
StackedBarChart11,50.0
PieChart3,90.0
PieChart3,35.0
PieChart3,60.0
PieChart3,33.0
PieChart3,70.0
PieChart3,30.0
PieChart3,37.0
TreeMap3,35.0
TreeMap3,78.0
TreeMap3,25.0
TreeMap3,35.0
TreeMap3,25.0
TreeMap3,30.0
TreeMap3,89.0
